,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra
71,1,2015-06-06 05:27:07,2015-06-06 05:32:29,1,1.9,-73.9843063354,40.7798042297,1,N,-73.9992370605,40.7563209534,1,7.5,0.5
72,2,2015-06-06 05:27:07,2015-06-06 05:41:14,1,3.85,-74.0044403076,40.7164955139,1,N,-73.9981002808,40.7607421875,1,14.0,0.5
73,2,2015-06-06 05:27:08,2015-06-06 05:52:47,1,10.11,-73.952911377,40.6969718933,1,N,-73.9972686768,40.6436233521,1,30.5,0.5
74,1,2015-06-06 05:27:08,2015-06-06 05:31:08,1,1.2,-74.0038909912,40.7320251465,1,N,-74.0050888062,40.7192726135,1,6.0,0.5
75,2,2015-06-06 05:27:09,2015-06-06 05:29:41,1,0.63,-73.9899673462,40.7253494263,1,N,-73.9881515503,40.7188415527,2,4.0,0.5
76,1,2015-06-06 05:27:10,2015-06-06 05:32:11,1,2.0,-73.9719238281,40.7537918091,1,N,-73.9524688721,40.776512146,1,7.5,0.5
77,2,2015-06-06 05:27:11,2015-06-06 05:31:21,6,1.15,-73.9923553467,40.7403068542,1,N,-74.0009841919,40.7308769226,2,5.5,0.5
78,2,2015-06-06 05:27:12,2015-06-06 05:43:41,1,9.87,-73.9667663574,40.7572479248,1,N,-73.8708343506,40.7741127014,1,27.5,0.5
79,2,2015-06-06 05:27:12,2015-06-06 05:37:37,5,4.22,-73.9033508301,40.7453918457,1,N,-73.8655090332,40.7708282471,1,13.5,0.5
80,1,2015-06-06 05:27:14,2015-06-06 05:56:09,1,17.9,-73.9451522827,40.7834014893,2,N,-73.7863540649,40.6442718506,1,52.0,0.0
81,1,2015-06-06 05:27:14,2015-06-06 05:40:50,1,5.1,-73.988899231,40.7194366455,1,N,-73.9199905396,40.739402771,2,16.0,0.5
82,1,2015-06-06 05:27:16,2015-06-06 05:48:49,3,11.2,-74.0058822632,40.7486419678,1,N,-73.8968353271,40.8496742249,1,32.0,0.5
83,1,2015-06-06 05:27:16,2015-06-06 05:49:48,1,9.5,-73.977973938,40.7863731384,1,N,-73.8722686768,40.7745285034,1,29.0,0.5
84,2,2015-06-06 05:27:18,2015-06-06 05:34:21,1,0.94,-73.9869918823,40.747428894,1,N,-73.9741897583,40.748210907,1,6.5,0.5
85,1,2015-06-06 05:27:21,2015-06-06 05:32:07,1,1.6,-73.9531021118,40.7766990662,1,N,-73.9394836426,40.797908783,1,6.5,0.5
86,2,2015-06-06 05:27:22,2015-06-06 05:30:11,1,0.53,-73.9803237915,40.7632408142,1,N,-73.9855880737,40.7583656311,2,4.0,0.5
87,1,2015-06-06 05:27:22,2015-06-06 05:49:47,1,4.0,-74.0073928833,40.740978241,1,N,-73.9579620361,40.7110176086,1,17.5,0.5
88,1,2015-06-06 05:27:23,2015-06-06 05:31:21,1,1.6,-74.0014572144,40.730846405,1,N,-73.9862594604,40.7515640259,1,6.5,0.5
89,2,2015-06-06 05:27:24,2015-06-06 05:34:47,6,1.56,-73.9893875122,40.720916748,1,N,-74.0059661865,40.7148017883,1,7.5,0.5
90,2,2015-06-06 05:27:24,2015-06-06 05:43:03,1,5.63,-73.8714828491,40.7739372253,1,N,-73.9142684937,40.7235794067,2,18.0,0.5
91,1,2015-06-06 05:27:25,2015-06-06 05:36:40,1,3.5,-73.9972991943,40.7144165039,1,N,-73.9705276489,40.672328949,2,12.0,0.5
92,1,2015-06-06 05:27:25,2015-06-06 05:36:49,1,1.7,-73.9920654297,40.7379684448,1,N,-73.9837265015,40.7488937378,1,8.5,0.5
93,2,2015-06-06 05:27:25,2015-06-06 05:39:55,1,1.84,-73.9839477539,40.7376708984,1,N,-73.9907913208,40.7563896179,1,9.5,0.5
94,2,2015-06-06 05:27:28,2015-06-06 05:39:46,2,3.3,-73.9945373535,40.7123718262,1,N,-73.9531784058,40.7221794128,1,12.5,0.5
95,1,2015-06-06 05:27:28,2015-06-06 05:49:08,1,7.5,-73.9870605469,40.7330513,1,N,-73.9557266235,40.8186683655,1,24.5,0.5
96,1,2015-06-06 05:27:29,2015-06-06 05:27:29,1,0.0,-73.9882049561,40.7488746643,1,N,0.0,0.0,2,3.0,0.5
97,1,2015-06-06 05:27:29,2015-06-06 05:30:39,1,1.1,-73.9875869751,40.7501602173,1,N,-73.9766082764,40.7652206421,2,5.5,0.5
98,2,2015-06-06 05:27:30,2015-06-06 05:54:07,6,9.46,-74.0054855347,40.7409820557,1,N,-73.9779205322,40.7536811829,2,28.5,0.5
99,1,2015-06-06 05:27:32,2015-06-06 05:41:32,1,2.9,-73.9898681641,40.696144104,1,N,-74.0035705566,40.6763687134,2,12.5,0.5
100,1,2015-06-06 05:27:34,2015-06-06 05:34:40,1,1.6,-73.973777771,40.7643966675,1,N,-73.9908752441,40.7501335144,1,8.0,0.5
101,1,2015-06-06 05:27:34,2015-06-06 05:31:04,1,0.4,-73.9455947876,40.7820167542,1,N,-73.9507293701,40.7858924866,1,4.5,0.5
102,2,2015-06-06 05:27:35,2015-06-06 05:37:42,5,2.08,-73.9422836304,40.7976531982,1,N,-73.9682769775,40.7999267578,2,10.0,0.5
103,1,2015-06-06 05:27:36,2015-06-06 05:32:57,2,1.1,-73.9747161865,40.7420768738,1,N,-73.9907302856,40.751159668,2,6.0,0.5
104,1,2015-06-06 05:27:36,2015-06-06 05:43:11,1,4.0,-73.9170608521,40.7431983948,1,N,-73.9778442383,40.7525978088,1,15.5,0.5
105,2,2015-06-06 05:27:37,2015-06-06 05:33:33,1,1.19,-73.9878540039,40.7573165894,1,N,-74.002746582,40.7561759949,2,6.5,0.5
106,1,2015-06-06 05:27:37,2015-06-06 05:35:45,1,2.7,-73.9940567017,40.7200660706,1,N,-73.9919662476,40.7494926453,1,9.5,0.5
107,2,2015-06-06 05:27:37,2015-06-06 05:45:27,2,4.66,-73.9821243286,40.727897644,1,N,-73.9512176514,40.7828216553,2,15.5,0.5
108,2,2015-06-06 05:27:38,2015-06-06 05:49:07,1,12.34,-74.0077209473,40.7049217224,1,N,-73.861831665,40.7683601379,1,34.5,0.5
109,2,2015-06-06 05:27:41,2015-06-06 05:56:15,6,5.59,-74.0046081543,40.7213134766,1,N,-73.9239349365,40.695930481,1,22.5,0.5
110,1,2015-06-06 05:27:41,2015-06-06 05:31:48,1,0.6,-73.9936447144,40.7519111633,1,N,-74.0018463135,40.7557373047,2,5.0,0.5
111,2,2015-06-06 05:27:41,2015-06-06 05:39:47,1,3.71,-74.008430481,40.7049484253,1,N,-73.991317749,40.7502632141,2,12.5,0.5
112,2,2015-06-06 05:27:41,2015-06-06 05:36:09,4,3.22,-73.9610519409,40.7608604431,1,N,-73.9791183472,40.7311058044,1,11.5,0.5
113,2,2015-06-06 05:27:42,2015-06-06 05:30:57,2,0.88,-73.9413452148,40.7878723145,1,N,-73.9507675171,40.7859611511,2,5.0,0.5
114,1,2015-06-06 05:27:44,2015-06-06 05:40:53,2,1.9,-73.9072341919,40.7453804016,1,N,-73.8755874634,40.744556427,2,10.5,0.5
115,2,2015-06-06 05:27:45,2015-06-06 05:39:41,1,4.23,-73.9480361938,40.7840652466,1,N,-73.9932556152,40.750995636,1,14.0,0.5
